County,Date of  Incident,Practice  Review?,Notification,90 Day,6 Month,age,gender,in_home,out_home,Serious Injury,Death / Alleged maltreatment,Egregious incident,Death / Alleged suicide in out-of-home care,status
Jackson,2021-04-03,No,210403DSP-Jack-1060,210403DSP-Jack-1060-90D,No,,,,,,,,,Error Processing
Kenosha,2021-03-26,Yes,210326DSP-Keno-1059,210326DSP-Keno-1059-90D,210326DSP-Keno-1059-6M,,,,,,,,,Error Processing
Winnebago,2021-03-21,Yes,210327DSP-Winn-1058,210327DSP-Winn-1058-90D,210327DSP-Winn-1058-6M,,,,,,,,,Error Processing
Marathon,2021-03-21,Yes,210321DSP-Mara-1057,210321DSP-Mara-1057-90D,210321DSP-Mara-1057-6M,,,,,,,,,Error Processing
Kenosha,2021-02-17,No,210217DSP-Keno-1051,210217DSP-Keno-1051-90D,No,,,,,,,,,Error Processing
Rock,2021-02-20,Yes,210220DSP-Rock-1056,210220DSP-Rock-1056-90D,210220DSP-Rock-1056-6M,,,,,,,,,Error Processing
Dunn,2021-02-20,Yes,210220DSP-Dunn-1055,210220DSP-Dunn-1055-90D,210220DSP-Dunn-1055-6M,,,,,,,,,Error Processing
Dane,2021-02-19,No,210219DSP-Dane-1054,210219DSP-Dane-1054-90D,No,,,,,,,,,Error Processing
Douglas,2021-02-14,No,210214DSP-Doug-1053,210214DSP-Doug-1053-90D,No,,,,,,,,,Error Processing
Marathon,2021-02-18,No,210218DSP-Mara-1052,210218DSP-Mara-1052-90D,No,,,,,,,,,Error Processing
Winnebago,2021-02-11,No,210211DSP-Winn-1050,210211DSP-Winn-1050-90D,No,,,,,,,,,Error Processing
Dunn,2021-02-14,Yes,210214DSP-Dunn-1049,210214DSP-Dunn-1049-90D,210214DSP-Dunn-1049-6M,,,,,,,,,Error Processing
Racine,2021-02-14,No,210214DSP-Racin-1048,210214DSP-Racin-1048-90D,No,,,,,,,,,Error Processing
Rock,2021-02-02,No,210202DSP-Rock-1047,210202DSP-Rock-1047-90D,No,,,,,,,,,Error Processing
Kewaunee,2021-02-09,No,210209DSP-Kewa-1046,210209DSP-Kewa-1046-90D,No,,,,,,,,,Error Processing
Shawano,2021-02-08,No,210208DSP-Shawn-1045,210208DSP-Shawn-1045-90D,No,,,,,,,,,Error Processing
Taylor,2021-01-31,No,210131DSP-Tayl-1044,210131DSP-Tayl-1044-90D,No,,,,,,,,,Error Processing
Milwaukee,2021-01-23,No,210123DSP-Milw-1043,210123DSP-Milw-1043-90D,No,,,,,,,,,Error Processing
Burnett,2021-01-23,No,210123DSP-Burn-1042,210123DSP-Burn-1042-90D,No,,,,,,,,,Error Processing
Jackson,2021-01-20,No,210120DSP-Jack-1041,210120DSP-Jack-1041-90D,No,,,,,,,,,Error Processing
Juneau,2021-01-16,No,2101169DSP-June-1040,2101169DSP-June-1040-90D,No,,,,,,,,,No PDF
Milwaukee,2021-01-15,No,2101159DSP-Milw-1039,2101159DSP-Milw-1039-90D,No,,,,,,,,,No PDF
Marathon,2021-01-09,Yes,210109DSP-Mara-1038,210109DSP-Mara-1038-90D,210109DSP-Mara-1038-6M,,,,,,,,,Error Processing
Green,2021-01-05,No,210105DSP-Green-1037,210105DSP-Green-1037-90D,No,,,,,,,,,Error Processing
Outagamie,2021-01-03,No,210103DSP-Outag-1036,210103DSP-Outag-1036-90D,No,,,,,,,,,Error Processing
Milwaukee,2020-12-19,No,201219DSP-Milw-1035,201219DSP-Milw-1035-90D,No,,,,,,,,,Error Processing
Dodge,2020-12-20,No,201220DSP-Dodge-1034,201220DSP-Dodge-1034-90D,No,,,,,,,,,Error Processing
Manitowoc,2020-11-28,No,201128DSP-Mani-1033,201128DSP-Mani-1033-90D,No,,,,,,,,,Error Processing
Racine,2020-11-26,No,201126DSP-Racin-1032,201126DSP-Racin-1032-90D,No,,,,,,,,,Error Processing
Columbia,2020-11-21,No,201121DSP-Colum-1031,201121DSP-Colum-1031-90D,No,,,,,,,,,Error Processing
Lincoln,2020-11-12,Yes,201112DSP-Linc-1030,201112DSP-Linc-1030-90D,201112DSP-Linc-10306-6M,,,,,,,,,Error Processing
Marathon,2020-11-05,Yes,201105DSP-Mara-1029,201105DSP-Mara-1029-90D,201105DSP-Mara-1029-6M,,,,,,,,,Error Processing
Milwaukee,2020-10-12,No,201012DSP-Milw-1028,201012DSP-Milw-1028-90D,No,,,,,,,,,Error Processing
La Crosse,2020-10-08,No,201008DSP-LaCr-1027,201008DSP-LaCr-1027-90D,No,,,,,,,,,Error Processing
Wood,2020-10-01,Yes,201001DSP-Wood-1026,201001DSP-Wood-1026-90D,201001DSP-Wood-1026-6M,,,,,,,,,Error Processing
Jackson,2020-09-25,No,200923DSP-Jack-1025,200923DSP-Jack-1025-90D,No,,,,,,,,,Error Processing
Racine,2020-09-25,No,200925DSP-Racin-1024,200925DSP-Racin-1024-90D,No,,,,,,,,,Error Processing
Iowa,2020-09-22,No,200922DSP-Iowa-1023,200922DSP-Iowa-1023-90D,No,,,,,,,,,Error Processing
Sauk,2015-08-24,No,150824DSP-Sauk-1022,150824DSP-Sauk-1022-90D,No,,,,,,,,,No PDF
